song,artist,genre
사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,"인디음악, 록/메탈"
에잇(Prod.&Feat. SUGA of BTS),아이유,록/메탈
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"록/메탈, 국내드라마"
예뻤어,DAY6 (데이식스),록/메탈
한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
사랑했나봐,윤도현,록/메탈
이제 나만 믿어요,임영웅,성인가요/트로트
사랑역,임영웅,성인가요/트로트
사랑해요 그대를,임영웅,성인가요/트로트
보금자리,임영웅,성인가요/트로트
별빛 같은 나의 사랑아,임영웅,성인가요/트로트
다시 사랑한다면 (김필 Ver.),임영웅,성인가요/트로트
어느 60대 노부부이야기,임영웅,성인가요/트로트
바램,임영웅,성인가요/트로트
니가 왜 거기서 나와 (Narr. 고은아),영탁,성인가요/트로트
초혼,장윤정,성인가요/트로트
진또배기,이찬원,성인가요/트로트
잊었니,임영웅,성인가요/트로트
목포행 완행열차,장윤정,성인가요/트로트
HERO,임영웅,성인가요/트로트
시절인연 (時節因緣),이찬원,"성인가요/트로트, 국내드라마"
막걸리 한잔,영탁,성인가요/트로트
사랑아,장윤정,성인가요/트로트
찐이야,영탁,성인가요/트로트
오늘 밤에,홍진영,성인가요/트로트
돼지토끼,장윤정,성인가요/트로트
그라데이션,10CM,"인디음악, 포크/블루스"
Love story,볼빨간사춘기,"인디음악, 포크/블루스"
첫사랑,백아,"인디음악, 포크/블루스"
사랑해 진짜,임영웅,포크/블루스
연애편지,임영웅,포크/블루스
오래된 노래,스탠딩 에그,"인디음악, 포크/블루스"
가을 아침,아이유,포크/블루스
스토커,10CM,"인디음악, 포크/블루스"
나의 사춘기에게,볼빨간사춘기,"인디음악, 포크/블루스"
우주를 줄게,볼빨간사춘기,"인디음악, 포크/블루스"
오랜 날 오랜 밤,AKMU (악뮤),포크/블루스
폰서트,10CM,"인디음악, 포크/블루스"
STAY,BLACKPINK,포크/블루스
Seoul,볼빨간사춘기,"인디음악, 포크/블루스"
가을 타나 봐,이무진,포크/블루스
남이 될 수 있을까,"볼빨간사춘기, 스무살","인디음악, 포크/블루스"
"나만, 봄",볼빨간사춘기,"인디음악, 포크/블루스"
사라진 모든 것들에게(with ELLE KOREA),"코드 쿤스트 (CODE KUNST), 잔나비 최정훈, 사이먼 도미닉",포크/블루스
나만 안되는 연애,볼빨간사춘기,"인디음악, 포크/블루스"
사랑은 은하수 다방에서,10CM,"인디음악, 포크/블루스"
